Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,220,0.000111228,0,0,0.2,0.2,-0.00230292,1.30107e-08,2.4275e-05,0.00230305
internalMesh,221,0.000110133,0,0.00809104,0.2,0.200164,-0.00225344,1.10883e-05,2.18387e-05,0.00225357
internalMesh,222,0.000109619,0,0.00962785,0.2,0.200232,-0.00222573,1.27891e-05,2.05486e-05,0.00222586
internalMesh,223,0.000107434,0,0.0161592,0.2,0.200652,-0.00210796,2.00175e-05,1.50656e-05,0.00210811
internalMesh,224,0.000105313,0,0.0209279,0.2,0.201092,-0.00196963,2.30827e-05,9.401e-06,0.00196978
internalMesh,225,0.000103866,0,0.0241819,0.2,0.201457,-0.00187523,2.51743e-05,5.53573e-06,0.00187541
internalMesh,226,0.000101994,0,0.028434,0.2,0.202011,-0.00171211,2.55186e-05,1.22923e-07,0.0017123
internalMesh,227,0.000100363,0,0.0321362,0.2,0.202565,-0.00157007,2.58184e-05,-4.58994e-06,0.00157029
internalMesh,228,9.9405e-05,0,0.034847,0.2,0.203013,-0.00145408,2.46292e-05,-7.34481e-06,0.00145431
internalMesh,229,9.75832e-05,0,0.04,0.2,0.203961,-0.00123359,2.23687e-05,-1.25818e-05,0.00123385
internalMesh,230,9.65211e-05,0,0.0438571,0.2,0.204752,-0.00103694,1.88387e-05,-1.50655e-05,0.00103722
internalMesh,231,0.000103763,0,-0.04,0.22,0.223607,-0.000495805,-7.56265e-06,-4.17922e-06,0.00049588
internalMesh,232,0.00010447,0,-0.034956,0.22,0.22276,-0.000592168,-8.38168e-06,-2.31674e-06,0.000592232
internalMesh,233,0.000104865,0,-0.0321362,0.22,0.222335,-0.000646038,-8.83954e-06,-1.27556e-06,0.0006461
internalMesh,234,0.000105536,0,-0.0275543,0.22,0.221719,-0.000725813,-8.76184e-06,8.50949e-07,0.000725866
internalMesh,235,0.000106029,0,-0.0241819,0.22,0.221325,-0.00078453,-8.70465e-06,2.41611e-06,0.000784582
internalMesh,236,0.00010637,0,-0.0215374,0.22,0.221052,-0.000819751,-8.13389e-06,3.55341e-06,0.000819799
internalMesh,237,0.000107062,0,-0.0161592,0.22,0.220593,-0.000891383,-6.97312e-06,5.8664e-06,0.00089143
internalMesh,238,0.000107555,0,-0.00969932,0.22,0.220214,-0.000945273,-4.49463e-06,7.83712e-06,0.000945317
internalMesh,239,0.000107678,0,-0.00809104,0.22,0.220149,-0.00095869,-3.87757e-06,8.32776e-06,0.000958734
internalMesh,240,0.000107672,0,0,0.22,0.22,-0.00098167,4.60789e-09,9.22904e-06,0.000981714
